                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0106,                   7.56,                 5.3186,                      0,                      0,                      0,                      0,                 5.4612,                 5.1344,                  4.163,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 5.0597,                 6.4442,                  4.858,                      0,                      0,                      0,                      0,                 5.4691,                 5.1405,                 4.1679,             0.00018393,             0.00018393,             0.00018393
                      3,                 4.4903,                 4.9063,                 4.2632,                      0,                      0,                      0,                      0,                 5.4829,                 5.1685,                 4.1782,             0.00028014,             0.00028014,             0.00028014
                      4,                 3.9606,                 4.0726,                 4.1494,                      0,                      0,                      0,                      0,                 5.4943,                 5.1915,                 4.1898,             0.00037437,             0.00037437,             0.00037437
                      5,                 3.4382,                 3.3901,                 3.7942,                      0,                      0,                      0,                      0,                 5.5227,                 5.2258,                  4.211,             0.00046662,             0.00046662,             0.00046662
                      6,                  3.088,                 3.0382,                 3.5818,                      0,                      0,                      0,                      0,                  5.545,                 5.1385,                 4.2332,             0.00055689,             0.00055689,             0.00055689
                      7,                 2.8731,                 2.8923,                 3.1403,                      0,                      0,                      0,                      0,                 5.5853,                 5.1315,                 4.2718,             0.00064518,             0.00064518,             0.00064518
                      8,                 2.7317,                 2.8518,                 2.8524,                      0,                      0,                      0,                      0,                 5.6066,                  5.145,                 4.2996,             0.00073148,             0.00073148,             0.00073148
                      9,                 2.4863,                 2.5701,                 2.7455,                      0,                      0,                      0,                      0,                 5.6344,                 5.1988,                 4.3427,             0.00081581,             0.00081581,             0.00081581
                     10,                 2.4828,                 2.4507,                 2.5726,                      0,                      0,                      0,                      0,                 5.6452,                  4.946,                 4.3636,             0.00089816,             0.00089816,             0.00089816
                     11,                 2.3309,                 2.2878,                 2.4533,                      0,                      0,                      0,                      0,                 5.6473,                 4.9702,                 4.3746,             0.00097852,             0.00097852,             0.00097852
                     12,                 2.2018,                 2.1374,                 2.3727,                      0,                      0,                      0,                      0,                 5.6564,                 4.8526,                 4.3877,              0.0010569,              0.0010569,              0.0010569
                     13,                 2.1818,                 2.0273,                 2.2484,                      0,                      0,                      0,                      0,                 5.6538,                 4.8619,                 4.3865,              0.0011333,              0.0011333,              0.0011333
                     14,                 2.1108,                 1.9409,                 2.1703,                      0,                      0,                      0,                      0,                 5.6454,                 5.1083,                 4.3779,              0.0012077,              0.0012077,              0.0012077
                     15,                 2.2124,                 1.9328,                 2.1315,                      0,                      0,                      0,                      0,                 5.6485,                 5.2643,                 4.3777,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.9897,                 1.8594,                 2.0439,                      0,                      0,                      0,                      0,                 5.6419,                 5.3603,                 4.3731,              0.0012168,              0.0012168,              0.0012168
                     17,                 2.0191,                 1.8884,                 2.0895,                      0,                      0,                      0,                      0,                 5.6366,                 5.4112,                 4.3712,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.8931,                 1.7462,                 1.9572,                      0,                      0,                      0,                      0,                 5.6351,                 5.4664,                 4.3698,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.8864,                 1.6948,                 1.9492,                      0,                      0,                      0,                      0,                 5.6081,                 5.4401,                 4.3254,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.7542,                 1.6376,                 1.8347,                0.00015,                0.00813,                  8e-05,                  1e-05,                 5.3675,                 5.0774,                 4.0877,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.8438,                 1.7471,                 1.9443,                0.00058,                0.03252,                0.02127,                0.00215,                 5.0157,                 4.5906,                 3.7708,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.7063,                 1.6046,                 1.8361,                0.10518,                0.00813,                0.09665,                0.01574,                 3.6538,                 3.3405,                 2.9908,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.6777,                 1.4887,                 1.7763,                 0.5189,                 0.4317,                0.46148,                0.15059,                 2.5228,                 2.3706,                 2.4856,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.5724,                  1.456,                 1.8045,                0.96969,                0.65319,                 0.7991,                0.40307,                 1.8125,                 1.7152,                 2.0451,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.7918,                 1.4414,                  1.746,                0.86818,                0.74745,                0.90081,                0.49962,                  1.539,                 1.5274,                 1.9561,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.6792,                 1.5456,                 1.7046,                0.73453,                0.80562,                0.80928,                0.42032,                  1.824,                 1.5796,                 2.0341,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.6686,                 1.4115,                 1.6923,                0.75685,                0.89431,                0.92611,                 0.5194,                 1.5284,                 1.4045,                 1.8414,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.7263,                 1.4374,                 1.7647,                0.79634,                0.86844,                0.93499,                0.58216,                 1.3573,                 1.3871,                 1.7957,               0.001047,               0.001047,               0.001047
                     29,                 1.6571,                  1.397,                  1.647,                0.75673,                0.78477,                0.89757,                0.49458,                 1.5705,                 1.6197,                 1.9677,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.7264,                 1.4532,                 1.7241,                0.90905,                0.62051,                0.88837,                0.53537,                 1.4398,                 1.9174,                 1.8975,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.5817,                 1.3246,                  1.622,                0.80905,                0.93718,                0.94748,                0.56877,                 1.4767,                 1.4427,                 1.7775,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.5656,                 1.2504,                 1.6236,                0.77538,                0.95269,                0.97192,                0.64749,                 1.2996,                 1.1932,                 1.6634,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.5702,                  1.269,                    1.6,                0.73008,                0.91954,                0.97261,                0.62621,                 1.3983,                 1.1658,                 1.6827,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.4507,                 1.2122,                 1.5042,                0.80382,                0.86752,                0.96401,                0.61683,                 1.3303,                  1.189,                 1.6297,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.4969,                 1.2127,                 1.5213,                0.96966,                0.90348,                0.97735,                0.62196,                 1.3464,                 1.0223,                  1.605,               0.000948,               0.000948,               0.000948
                     36,                 1.5695,                 1.1838,                 1.5601,                0.98738,                0.93943,                0.98133,                0.64502,                  1.375,                 1.1154,                 1.6074,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.5203,                 1.2412,                   1.51,                0.91528,                0.96516,                0.98253,                0.64278,                 1.3757,                 1.1643,                 1.6002,              0.0009197,              0.0009197,              0.0009197
                     38,                   1.46,                 1.2025,                 1.4719,                0.88298,                0.96745,                0.97774,                0.64874,                 1.2715,                 0.9681,                 1.5621,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.4069,                 1.0827,                 1.4639,                0.94214,                0.96748,                0.97772,                0.64973,                 1.1969,                0.89069,                 1.5142,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.4111,                 1.1438,                  1.516,                0.92947,                0.92706,                   0.98,                0.66141,                 1.2684,                  1.015,                 1.5352,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.4958,                 1.1612,                 1.4662,                 0.9348,                0.96556,                0.98123,                0.64145,                 1.3192,                 1.0257,                 1.5351,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.4537,                 1.1477,                 1.4603,                0.95569,                0.95122,                0.96601,                0.59131,                 1.3079,                0.91501,                 1.5642,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.5352,                  1.122,                 1.5535,                0.89866,                 0.9505,                0.98129,                0.66231,                 1.2407,                0.94427,                 1.5038,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.3845,                 1.0348,                 1.4233,                0.70342,                0.95247,                0.95808,                0.65885,                 1.2562,                0.98851,                 1.5016,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.4228,                 1.0786,                 1.4596,                0.72111,                 0.9675,                 0.9575,                0.64354,                 1.2491,                 0.9807,                 1.5125,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.3812,                 1.0083,                 1.3969,                0.86378,                0.98155,                0.97265,                0.65039,                 1.2797,                0.91684,                 1.5021,             0.00079238,             0.00079238,             0.00079238
                     47,                  1.362,                0.97377,                 1.4351,                0.87908,                0.97561,                0.96397,                0.66107,                 1.2727,                0.91266,                 1.4785,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.3982,                0.98476,                 1.4684,                0.74521,                  0.932,                0.95372,                0.64578,                 1.2767,                 1.2887,                 1.5238,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.3532,                 1.0104,                 1.4122,                0.69595,                0.88022,                0.94763,                0.63081,                  1.285,                 1.3672,                 1.5236,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3699,                 1.0092,                 1.4528,                0.91484,                0.93204,                0.99159,                0.65993,                 1.2193,                 1.2899,                 1.4654,             0.00073579,             0.00073579,             0.00073579
                     51,                   1.38,                 1.0059,                 1.3902,                0.95342,                 0.9357,                0.98226,                0.62982,                 1.2461,                 1.0044,                 1.5062,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.4654,                 1.0254,                 1.4699,                0.87969,                0.96961,                0.97829,                0.64727,                 1.2445,                0.98054,                 1.4866,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.3652,                0.98952,                 1.3563,                0.89916,                0.96284,                0.98086,                0.66057,                  1.218,                0.89726,                 1.4467,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.4242,                 1.0324,                 1.4122,                0.94816,                0.96377,                0.97735,                0.65579,                 1.2101,                0.82909,                 1.4396,              0.0006792,              0.0006792,              0.0006792
                     55,                  1.413,                0.99901,                 1.4064,                0.91476,                0.96773,                0.99032,                0.67581,                 1.1967,                0.77815,                 1.4185,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.3336,                0.94975,                 1.3947,                0.94552,                0.95934,                 0.9844,                0.62328,                 1.3645,                0.80002,                 1.4607,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.4541,                0.95407,                 1.4116,                0.96139,                0.94309,                0.98907,                0.63546,                 1.3101,                0.76151,                 1.4361,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3336,                0.90831,                   1.36,                0.96722,                0.95193,                0.98922,                0.68895,                 1.2151,                0.84953,                 1.4259,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.3392,                0.89719,                  1.313,                0.90663,                 0.9865,                0.98977,                0.67651,                 1.1934,                0.87418,                 1.4129,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.3477,                0.94037,                 1.3731,                0.95218,                0.95395,                0.98834,                0.66221,                 1.2144,                 0.7195,                 1.4067,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.2716,                0.85715,                 1.3162,                0.94321,                0.95234,                0.98971,                0.68968,                 1.1493,                0.70658,                 1.3846,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.3368,                0.93176,                 1.3507,                0.95783,                0.96025,                  0.984,                0.68344,                 1.1604,                0.70162,                 1.4003,             0.00056603,             0.00056603,             0.00056603
                     63,                  1.319,                0.92505,                 1.3575,                0.87865,                0.96531,                0.97114,                0.67207,                 1.1726,                0.82958,                 1.3914,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.3735,                0.87607,                 1.3445,                0.76204,                0.95945,                0.95533,                0.67267,                 1.1275,                0.89608,                 1.3663,             0.00053773,             0.00053773,             0.00053773
                     65,                  1.301,                 0.9263,                 1.3668,                0.85643,                0.96884,                0.97815,                0.68275,                 1.1406,                0.81885,                 1.3829,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.3229,                0.84244,                 1.3466,                0.94072,                0.94531,                0.98877,                0.69162,                 1.1506,                0.74711,                  1.366,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.2925,                0.91911,                 1.3396,                0.95805,                  0.956,                0.98983,                  0.669,                 1.1353,                0.70175,                  1.372,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.3379,                0.91362,                 1.4143,                0.95464,                0.96063,                0.99276,                0.69007,                 1.1032,                0.66924,                 1.3621,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.2769,                0.83032,                 1.3049,                0.94452,                0.97561,                0.99002,                 0.6769,                  1.136,                0.67242,                  1.374,               0.000467,               0.000467,               0.000467
                     70,                 1.3154,                0.86058,                 1.3511,                0.96966,                0.95063,                0.99113,                0.69291,                 1.1149,                0.72384,                 1.3779,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.3104,                0.86417,                 1.3629,                0.94031,                0.99107,                0.99207,                0.68133,                 1.1613,                0.74315,                 1.3742,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.2812,                0.83894,                 1.3305,                0.94145,                0.99409,                0.99308,                0.68988,                  1.134,                0.80982,                 1.3729,             0.00042456,             0.00042456,             0.00042456
                     73,                  1.267,                0.87726,                 1.3561,                0.93359,                0.99404,                0.99275,                0.67772,                 1.1135,                0.73353,                 1.3669,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.2328,                0.81635,                 1.3228,                 0.9576,                0.96748,                0.99308,                0.66464,                 1.1792,                0.67599,                 1.3735,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.3473,                0.82797,                 1.2847,                0.95216,                0.96748,                 0.9936,                0.68665,                 1.1617,                0.70284,                 1.3769,             0.00038211,             0.00038211,             0.00038211
